sample id,tissue type,boat weight,tissue + bag + paper,pin + paper,final tissue + boat,final bag,final pin,final paper,notes
JUM090919J001,Muscle,1.3,6.77,0.39,2.17,1.99,0.1,0.23,
JUM090919J002,Muscle,1.3,20.81,0.51,5.1,2.02,0.11,0.22,
JUM090919J003,Muscle,1.33,17.05,0.68,4.27,2.02,0.1,0.33,
JUM090919J004,Muscle,1.29,7.81,0.4,2.34,1.99,0.1,0.16,
JUM090919J005,Muscle,1.31,11.29,0.47,3.07,2.01,0.11,0.2,
JUM090919J006,Muscle,1.32,23.9,0.49,5.71,2.04,0.11,0.23,
JUM090919J007,Muscle,1.31,7.54,0.37,2.31,1.99,0.11,0.16,
JUM090919J008,Muscle,1.33,13.67,0.41,3.56,1.99,0.12,0.16,
JUM090919J009,Muscle,1.32,8.93,0.39,2.6,1.99,0.11,0.17,
JUM090919J010,Muscle,1.33,8.55,0.38,2.52,2.02,0.11,0.15,
JUM090919J011,Muscle,1.32,9.8,0.43,2.74,1.99,0.11,0.2,
JUM090919J012,Muscle,1.35,18.73,0.49,4.74,2,0.11,0.21,
JUM090919J013,Muscle,1.35,9.48,0.46,2.76,1.98,0.11,0.21,
JUM090919J014,Muscle,1.31,9.34,0.48,2.63,1.99,0.11,0.2,
JUM090919J015,Muscle,1.31,14.78,0.51,3.65,1.99,0.1,0.18,
JUM090919J016,Muscle,1.33,7.14,0.47,2.24,2.02,0.11,0.2,
JUM090919J017,Muscle,1.33,10.08,0.43,2.78,1.97,0.11,0.16,
JUM090919J018,Muscle,1.33,13.29,0.45,3.43,2.01,0.11,0.19,
JUM090919J019,Muscle,1.35,8.48,0.43,2.49,2.02,0.11,0.19,
JUM090919J020,Muscle,1.31,11.89,0.44,3.12,1.99,0.1,0.18,
JUM090919J021,Muscle,1.33,9.44,0.54,2.63,2.03,0.11,0.18,
JUM090919J022,Muscle,1.33,11.84,0.41,3.21,2.02,0.11,0.18,
JUM090919J023,Muscle,1.29,11.96,0.43,3.08,1.99,0.1,0.15,
